"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","10/23/10","16","COLEMAN","DREW","1","19","0","19","0","","","","","","","1","19","","","","","","","","","","","","","","","1","19","0","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","16","COLEMAN","DREW","1","7","0","7","0","","","","","","","1","7","1","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","46","COOKS","","","","","","","","","","","","","0","0","","","","","","","","","","","","1","36","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","22","DANIELS","TONY","1","11","0","11","0","","","","","","","1","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","","","","","","","","","1","0","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/25/10","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","23","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","1","18","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/25/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","2","24","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","3","56","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","1","25","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
