"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/05/09","97","BARTHOLOMEW","KEIL","","","","","","","","","","","","0","0","","","","","","","","","","2","87","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/05/09","17","CLARK","ASHER","6","66","0","66","0","","","","","","","6","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/12/09","17","CLARK","ASHER","12","90","0","90","0","","","","","","","12","90","1","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/19/09","17","CLARK","ASHER","20","90","4","86","0","","","","","","","20","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/26/09","17","CLARK","ASHER","5","20","0","20","0","","","","","","","5","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/03/09","17","CLARK","ASHER","6","15","0","15","0","","","","","","","6","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/10/09","17","CLARK","ASHER","7","38","3","35","0","","","","","","","7","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/17/09","17","CLARK","ASHER","11","49","10","39","0","","","","","","","11","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/24/09","17","CLARK","ASHER","17","40","7","33","0","","","","","","","17","33","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/31/09","17","CLARK","ASHER","10","82","7","75","0","","","","","","","10","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/07/09","17","CLARK","ASHER","13","89","7","82","2","","","","","","","13","82","","","","","","","","","","","","","","","1","18","0","2","","","","","","","","","","","","12"
"721","Air Force","11/14/09","17","CLARK","ASHER","18","164","4","160","3","","","","","","","18","160","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","18"
"721","Air Force","11/21/09","17","CLARK","ASHER","9","36","1","35","0","1","0","0","0","0","","10","35","1","29","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/31/09","17","CLARK","ASHER","17","130","1","129","2","","","","","","","17","129","1","8","0","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/05/09","35","COBB","WESLEY","3","9","0","9","0","","","","","","","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/19/09","12","COCHRAN","BEN","","","","","","1","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/14/09","12","COCHRAN","BEN","1","8","0","8","0","","","","","","","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/21/09","12","COCHRAN","BEN","13","51","4","47","0","18","5","1","88","1","0","31","135","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","2"
"721","Air Force","09/05/09","16","COLEMAN","DREW","1","20","0","20","1","","","","","","","1","20","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/19/09","16","COLEMAN","DREW","2","4","0","4","0","","","","","","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/05/09","96","COMPTON","DANIEL","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","2","0","0","","","","","","","","2"
"721","Air Force","09/12/09","87","COUSINS","JOSH","","","","","","","","","","","","0","0","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/26/09","87","COUSINS","JOSH","","","","","","1","0","0","0","0","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/21/09","87","COUSINS","JOSH","","","","","","","","","","","","0","0","1","27","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/19/09","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","2","41","1","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/24/09","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","","","","","","","","","1","35","0","","","","","","","","","","","","","","","","0"
"721","Air Force","12/31/09","6","DAVIS","JON","1","6","0","6","0","","","","","","","1","6","","","","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/05/09","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","2","14","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/12/09","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
