"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"5","Akron","09/04/10","688","Syracuse","3","29","Home"
"5","Akron","09/11/10","1092","Gardner-Webb","37","38","Home"
"5","Akron","09/18/10","334","Kentucky","10","47","Away"
"5","Akron","09/25/10","306","Indiana","20","35","Away"
"5","Akron","10/02/10","503","Northern Ill.","14","50","Home"
"5","Akron","10/09/10","331","Kent St.","17","28","Away"
"5","Akron","10/16/10","519","Ohio","10","38","Away"
"5","Akron","10/23/10","774","Western Mich.","10","56","Home"
"5","Akron","10/30/10","690","Temple","0","30","Away"
"5","Akron","11/06/10","47","Ball St.","30","37","Away"
"5","Akron","11/17/10","414","Miami (OH)","14","19","Home"
"5","Akron","11/26/10","86","Buffalo","22","14","Home"
"8","Alabama","09/04/10","630","San Jose St.","48","3","Home"
"8","Alabama","09/11/10","539","Penn St.","24","3","Home"
"8","Alabama","09/18/10","193","Duke","62","13","Away"
"8","Alabama","09/25/10","31","Arkansas","24","20","Away"
"8","Alabama","10/02/10","235","Florida","31","6","Home"
"8","Alabama","10/09/10","648","South Carolina","21","35","Away"
"8","Alabama","10/16/10","433","Mississippi","23","10","Home"
"8","Alabama","10/23/10","694","Tennessee","41","10","Away"
"8","Alabama","11/06/10","365","LSU","21","24","Away"
"8","Alabama","11/13/10","430","Mississippi St.","30","10","Home"
"8","Alabama","11/18/10","254","Georgia St.","63","7","Home"
"8","Alabama","11/26/10","37","Auburn","27","28","Home"
"8","Alabama","01/01/11","416","Michigan St.","49","7","Neutral Site"
"9","UAB","09/02/10","229","Fla. Atlantic","31","32","Home"
"9","UAB","09/11/10","663","SMU","7","28","Away"
"9","UAB","09/18/10","716","Troy","34","33","Home"
"9","UAB","09/25/10","694","Tennessee","29","32","Away"
"9","UAB","10/06/10","128","UCF","7","42","Away"
"9","UAB","10/16/10","704","UTEP","21","6","Home"
"9","UAB","10/23/10","430","Mississippi St.","24","29","Away"
"9","UAB","10/30/10","664","Southern Miss.","50","49","Away"
"9","UAB","11/06/10","388","Marshall","17","31","Home"
"9","UAB","11/11/10","196","East Carolina","42","54","Home"
"9","UAB","11/20/10","404","Memphis","31","15","Home"
"9","UAB","11/27/10","574","Rice","23","28","Away"
"28","Arizona St.","09/04/10","550","Portland St.","54","9","Home"
"28","Arizona St.","09/11/10","501","Northern Ariz.","41","20","Home"
"28","Arizona St.","09/18/10","796","Wisconsin","19","20","Away"
"28","Arizona St.","09/25/10","529","Oregon","31","42","Home"
"28","Arizona St.","10/02/10","528","Oregon St.","28","31","Away"
"28","Arizona St.","10/09/10","756","Washington","24","14","Away"
"28","Arizona St.","10/23/10","107","California","17","50","Away"
"28","Arizona St.","10/30/10","754","Washington St.","42","0","Home"
"28","Arizona St.","11/06/10","657","Southern California","33","34","Away"
"28","Arizona St.","11/13/10","674","Stanford","13","17","Home"
"28","Arizona St.","11/26/10","110","UCLA","55","34","Home"
"28","Arizona St.","12/02/10","29","Arizona","30","29","Away"
"29","Arizona","09/03/10","709","Toledo","41","2","Away"
"29","Arizona","09/11/10","141","Citadel","52","6","Home"
"29","Arizona","09/18/10","312","Iowa","34","27","Home"
"29","Arizona","09/25/10","107","California","10","9","Home"
"29","Arizona","10/09/10","528","Oregon St.","27","29","Home"
"29","Arizona","10/16/10","754","Washington St.","24","7","Away"
"29","Arizona","10/23/10","756","Washington","44","14","Home"
